domain,year,title,status,method_or_scope,primary_url,relevance_to_CGDiT
materials_diffusion,2022,"Crystal Diffusion Variational Autoencoder for Periodic Material Generation (CDVAE)","ICLR 2022","VAE with periodic score-based diffusion decoder",https://iclr.cc/virtual/2022/poster/7063,"Foundational crystal diffusion baseline"
materials_diffusion,2023,"Crystal Structure Prediction by Joint Equivariant Diffusion (DiffCSP)","NeurIPS 2023","Joint lattice and periodic-coordinate equivariant diffusion",https://openreview.net/forum?id=DNdN26m2Jk,"Direct upstream idea acknowledged by the project"
materials_diffusion,2024,"Vector Field Oriented Diffusion Model for Crystal Material Generation (GemsDiff)","AAAI 2024","Equivariant vector-field crystal diffusion",https://ojs.aaai.org/index.php/AAAI/article/view/30224,"Geometric score baseline"
materials_diffusion,2024,"Conditional Crystal Diffusion Variational Autoencoder (Con-CDVAE)","Computational Materials Today 2024","Property-conditioned crystal generation",https://doi.org/10.1016/j.commt.2024.100003,"Prior conditional generation"
materials_diffusion,2024,"Deep learning generative model for crystal structure prediction (Cond-CDVAE)","npj Computational Materials 2024","Composition- and pressure-conditioned CSP",https://www.nature.com/articles/s41524-024-01443-y,"Conditional CSP baseline"
materials_diffusion,2024,"Space Group Constrained Crystal Generation (DiffCSP++)","ICLR 2024","Space-group-constrained lattice and Wyckoff-coordinate diffusion",https://openreview.net/forum?id=jkvZ7v4OmP,"Very high overlap with symmetry projection and anchors"
materials_diffusion,2024,"Scalable Diffusion for Materials Generation (UniMat)","ICLR 2024","Unified scalable material representation",https://arxiv.org/abs/2311.09235,"Prior unified material diffusion"
materials_flow,2024,"FlowMM: Generating Materials with Riemannian Flow Matching","ICML 2024","Riemannian flow matching over crystal variables",https://proceedings.mlr.press/v235/miller24a.html,"Non-diffusion efficiency baseline"
materials_diffusion,2025,"A generative model for inorganic materials design (MatterGen)","Nature 2025","Joint atom-coordinate-lattice diffusion with property adapters",https://www.nature.com/articles/s41586-025-08628-5,"Covers joint diffusion adapters and multi-property conditioning"
materials_diffusion,2025,"SymmCD: Symmetry-Preserving Crystal Generation with Diffusion Models","ICLR 2025","Asymmetric unit plus generated symmetry transformations",https://proceedings.iclr.cc/paper_files/paper/2025/file/3a14ae9951e8153a8fc814b5f506b5b7-Paper-Conference.pdf,"Direct symmetry-aware baseline"
materials_diffusion,2025,"WyckoffDiff: A Generative Diffusion Model for Crystal Symmetry","ICML 2025","Discrete diffusion over symmetry protostructures",https://proceedings.mlr.press/v267/ekstrom-kelvinius25a.html,"Discrete Wyckoff diffusion prior"
materials_diffusion,2025,"SGEquiDiff","NeurIPS 2025","Space-group-equivariant coordinate diffusion and invariant likelihood",https://openreview.net/forum?id=NWP8KYKC0c,"Theory baseline for symmetry-aware probability"
